Order_ID,Order_Date,Customer,Product,Category,Quantity,Price,Sales,City,Region,Payment
1004,2026-01-02 00:00:00,Kavan,Jacket,Fashion,3,3500,10500,Pune,West,Net Banking
1091,2026-01-04 00:00:00,Neha,Moisturizer,Beauty,3,900,2700,Surat,West,Net Banking
1098,2026-01-05 00:00:00,Aman,Jacket,Fashion,4,3500,14000,Chennai,South,Cash
1021,2026-01-05 00:00:00,Aman,Keyboard,Electronics,4,1500,6000,Jaipur,North,Cash
1086,2026-01-06 00:00:00,Rohan,Laptop,Electronics,2,55000,110000,Mumbai,West,Card
1026,2026-01-06 00:00:00,Rohan,T-Shirt,Fashion,3,1200,3600,Surat,West,Card
1054,2026-01-07 00:00:00,Kavan,T-Shirt,Fashion,4,1200,4800,Rajkot,West,Cash
1002,2026-01-08 00:00:00,Aman,Keyboard,Electronics,1,1500,1500,Bengaluru,South,Card
1012,2026-01-09 00:00:00,Dhruv,Jeans,Fashion,2,2200,4400,Ahmedabad,West,Net Banking
1061,2026-01-12 00:00:00,Neha,Sunscreen,Beauty,3,650,1950,Mumbai,West,UPI
1008,2026-01-12 00:00:00,Priya,Bedsheet,Home,1,1500,1500,Mumbai,West,Cash
1069,2026-01-12 00:00:00,Priya,T-Shirt,Fashion,1,1200,1200,Rajkot,West,Net Banking
1037,2026-01-15 00:00:00,Rohan,T-Shirt,Fashion,2,1200,2400,Delhi,North,UPI
1035,2026-01-16 00:00:00,Kavan,Shampoo,Beauty,4,700,2800,Mumbai,West,Net Banking
1039,2026-01-18 00:00:00,Rohan,Keyboard,Electronics,2,1500,3000,Surat,West,UPI
1075,2026-01-20 00:00:00,Riya,Perfume,Beauty,4,1800,7200,Delhi,North,Card
1007,2026-01-21 00:00:00,Anjali,Sunscreen,Beauty,4,650,2600,Surat,West,Cash
1082,2026-01-22 00:00:00,Neha,Sunscreen,Beauty,1,650,650,Pune,West,Card
1068,2026-01-24 00:00:00,Priya,Headphones,Electronics,3,2000,6000,Kolkata,East,Cash
1071,2026-01-28 00:00:00,Neha,Perfume,Beauty,1,1800,1800,Rajkot,West,Card
1018,2026-01-29 00:00:00,Riya,Keyboard,Electronics,3,1500,4500,Delhi,North,Net Banking
1023,2026-02-02 00:00:00,Yash,Face Wash,Beauty,2,500,1000,Kolkata,East,Card
1044,2026-02-03 00:00:00,Dhruv,Keyboard,Electronics,3,1500,4500,Mumbai,West,UPI
1046,2026-02-04 00:00:00,Riya,Keyboard,Electronics,1,1500,1500,Delhi,North,UPI
1076,2026-02-05 00:00:00,Kavan,Table Lamp,Home,1,1200,1200,Jaipur,North,Card
1032,2026-02-05 00:00:00,Neha,T-Shirt,Fashion,4,1200,4800,Mumbai,West,Card
1020,2026-02-09 00:00:00,Dhruv,Bedsheet,Home,2,1500,3000,Pune,West,Card
1092,2026-02-09 00:00:00,Neha,Smartwatch,Electronics,4,5000,20000,Jaipur,North,Card
1088,2026-02-11 00:00:00,Riya,Table Lamp,Home,1,1200,1200,Rajkot,West,UPI
1064,2026-02-19 00:00:00,Neha,Moisturizer,Beauty,2,900,1800,Kolkata,East,Net Banking
1024,2026-02-24 00:00:00,Anjali,Bedsheet,Home,4,1500,6000,Pune,West,Card
1013,2026-02-24 00:00:00,Yash,Mixer,Home,3,4500,13500,Mumbai,West,Net Banking
1015,2026-02-26 00:00:00,Kavan,Sunscreen,Beauty,3,650,1950,Bengaluru,South,Net Banking
1001,2026-02-27 00:00:00,Kavan,Laptop,Electronics,2,55000,110000,Delhi,North,UPI
1027,2026-02-28 00:00:00,Aman,Shoes,Fashion,1,3000,3000,Surat,West,UPI
1034,2026-03-02 00:00:00,Kavan,Keyboard,Electronics,1,1500,1500,Ahmedabad,West,Net Banking
1097,2026-03-03 00:00:00,Neha,Keyboard,Electronics,1,1500,1500,Mumbai,West,Net Banking
1029,2026-03-04 00:00:00,Yash,Backpack,Fashion,4,1800,7200,Pune,West,Net Banking
1014,2026-03-05 00:00:00,Anjali,Perfume,Beauty,2,1800,3600,Delhi,North,Cash
1048,2026-03-06 00:00:00,Rahul,Air Fryer,Home,4,6500,26000,Delhi,North,UPI
1074,2026-03-08 00:00:00,Priya,Perfume,Beauty,4,1800,7200,Chennai,South,Cash
1041,2026-03-08 00:00:00,Priya,Smartwatch,Electronics,3,5000,15000,Pune,West,Cash
1009,2026-03-13 00:00:00,Yash,Smartphone,Electronics,4,30000,120000,Surat,West,Cash
1096,2026-03-13 00:00:00,Rohan,Jeans,Fashion,3,2200,6600,Delhi,North,Cash
1028,2026-03-13 00:00:00,Yash,Mixer,Home,2,4500,9000,Kolkata,East,Card
1084,2026-03-13 00:00:00,Neha,Moisturizer,Beauty,4,900,3600,Jaipur,North,Cash
1047,2026-03-14 00:00:00,Rohan,Keyboard,Electronics,3,1500,4500,Rajkot,West,Card
1036,2026-03-15 00:00:00,Neha,Smartwatch,Electronics,4,5000,20000,Delhi,North,Net Banking
1079,2026-03-18 00:00:00,Neha,Shampoo,Beauty,3,700,2100,Ahmedabad,West,Net Banking
1060,2026-03-22 00:00:00,Neha,Keyboard,Electronics,3,1500,4500,Bengaluru,South,UPI
1095,2026-03-25 00:00:00,Kavan,Moisturizer,Beauty,4,900,3600,Ahmedabad,West,Net Banking
1049,2026-03-27 00:00:00,Kavan,Moisturizer,Beauty,1,900,900,Ahmedabad,West,Cash
1005,2026-03-28 00:00:00,Aman,Table Lamp,Home,2,1200,2400,Rajkot,West,UPI
1085,2026-03-31 00:00:00,Priya,Smartwatch,Electronics,1,5000,5000,Ahmedabad,West,UPI
